dataset,clip_id,t,k,latent_l2_drift,cosine_distance,normalized_l2,ensemble_variance,effective_rank,mahalanobis,ebid_entropy,pixel_error
ssv2,124600,8,2,1350.4793701171875,0.5048450231552124,0.9094002842903137,5.108613186166622e-05,4.4621968269348145,191622.15625,1.4956412315368652,0.2317183017730713
ssv2,124600,8,4,1360.98095703125,0.5412416458129883,0.9183239936828613,5.803280510008335e-05,4.467933654785156,722478.75,1.4969260692596436,0.28942692279815674
ssv2,124600,8,8,1358.9794921875,0.5400032997131348,0.9184662699699402,5.132411024533212e-05,4.451748371124268,55067.57421875,1.4932968616485596,0.3126392662525177
ssv2,124600,8,16,1385.894287109375,0.6119105815887451,0.9360226392745972,5.13444647367578e-05,4.463729381561279,522873.8125,1.4959845542907715,0.33368855714797974
ssv2,124600,8,32,1375.2388916015625,0.5606210231781006,0.923505961894989,4.636523226508871e-05,4.421860218048096,494683.875,1.4865604639053345,0.21800750494003296
ssv2,124613,8,2,1321.4593505859375,0.5500675439834595,0.9250059723854065,3.3798911317717284e-05,4.417667865753174,347104.3125,1.485611915588379,0.27665993571281433
ssv2,124613,8,4,1312.7857666015625,0.5595036149024963,0.928112268447876,2.0598465198418126e-05,4.421970367431641,510852.03125,1.4865853786468506,0.2622758150100708
ssv2,124613,8,8,1308.8177490234375,0.5607365369796753,0.927174985408783,2.8199043299537152e-05,4.417012691497803,94293.5546875,1.4854636192321777,0.21993893384933472
ssv2,124613,8,16,1352.0152587890625,0.5583440065383911,0.9302572011947632,1.6326710465364158e-05,4.383416652679443,819158.4375,1.4778285026550293,0.18818289041519165
ssv2,124613,8,32,1289.8125,0.5554925203323364,0.9267229437828064,5.183940811548382e-05,1.9677865505218506,363820.4375,0.676909327507019,0.14924174547195435
ssv2,124779,8,2,1347.209716796875,0.403819739818573,0.8846912980079651,3.374813968548551e-05,4.383306503295898,321627.125,1.477803349494934,0.2672065496444702
ssv2,124779,8,4,1387.21630859375,0.41037046909332275,0.8881531357765198,2.5099403501371853e-05,4.411762714385986,107285.6875,1.4842742681503296,0.26740625500679016
ssv2,124779,8,8,1405.143798828125,0.41269415616989136,0.8879578113555908,2.6830506612895988e-05,4.46953821182251,683669.625,1.4972851276397705,0.2690049707889557
ssv2,124779,8,16,1417.857666015625,0.4459824562072754,0.899778425693512,2.1159490643185563e-05,4.3801188468933105,459538.8125,1.4770758152008057,0.27631649374961853
ssv2,124779,8,32,1418.8370361328125,0.46998244524002075,0.9007043838500977,2.121659053955227e-05,4.365704536437988,246199.21875,1.473779559135437,0.27925145626068115
ssv2,124844,8,2,1279.7708740234375,0.5006048679351807,0.9103624820709229,3.988392563769594e-05,4.326566219329834,1071929.375,1.464774250984192,0.29883405566215515
ssv2,124844,8,4,1292.451904296875,0.5008811950683594,0.912993848323822,2.353149830014445e-05,4.348723411560059,135733.5,1.4698823690414429,0.29914942383766174
ssv2,124844,8,8,1349.4088134765625,0.5341112613677979,0.9217256307601929,2.6225408873870037e-05,4.317078590393066,268213.3125,1.4625788927078247,0.2877197265625
ssv2,124844,8,16,1349.549560546875,0.569341242313385,0.9312188029289246,2.012317236221861e-05,4.249758243560791,1690441.625,1.4468621015548706,0.24695901572704315
ssv2,124844,8,32,1460.2564697265625,0.5671398639678955,0.93482905626297,3.110057150479406e-05,2.765287399291992,182576.0625,1.0171445608139038,0.22266839444637299
ssv2,124853,8,2,1302.358154296875,0.45910394191741943,0.8981208205223083,6.477849092334509e-05,4.458099365234375,696050.0625,1.4947224855422974,0.21712949872016907
ssv2,124853,8,4,1320.760498046875,0.45830440521240234,0.9000430703163147,5.7245008065365255e-05,4.465695381164551,161146.140625,1.496424913406372,0.21800687909126282
ssv2,124853,8,8,1322.774169921875,0.46655476093292236,0.9021925926208496,4.8257821617880836e-05,4.503224849700928,213038.96875,1.5047937631607056,0.22113506495952606
ssv2,124853,8,16,1346.296630859375,0.4988953471183777,0.9120786786079407,4.156296927249059e-05,4.416998386383057,108122.4609375,1.4854604005813599,0.22158440947532654
ssv2,124853,8,32,1369.206787109375,0.5316154956817627,0.9221619963645935,2.2607560822507367e-05,4.378603458404541,220580.25,1.4767298698425293,0.22446930408477783
ssv2,124969,8,2,1381.061767578125,0.4806298017501831,0.9065887928009033,4.117172647966072e-05,4.4859700202941895,434875.375,1.5009547472000122,0.13838894665241241
ssv2,124969,8,4,1379.113037109375,0.48592913150787354,0.9078936576843262,3.999092587037012e-05,4.432540416717529,380317.21875,1.4889729022979736,0.1391485333442688
ssv2,124969,8,8,1340.4019775390625,0.47114723920822144,0.90235435962677,3.616823232732713e-05,4.457715034484863,386786.65625,1.4946362972259521,0.13979767262935638
ssv2,124969,8,16,1376.578125,0.45754218101501465,0.9028838872909546,3.280322198406793e-05,4.482157230377197,91516.5,1.5001044273376465,0.15251101553440094
ssv2,124969,8,32,1384.19580078125,0.5670754909515381,0.9271895885467529,3.397104956093244e-05,4.006587982177734,64958.921875,1.3879400491714478,0.18260420858860016
ssv2,125148,8,2,1312.19189453125,0.5223550796508789,0.9154618978500366,4.123175312997773e-05,4.419243335723877,755037.8125,1.4859684705734253,0.26662135124206543
ssv2,125148,8,4,1350.716796875,0.526272177696228,0.9183232188224792,3.32875206368044e-05,4.446265697479248,95487.8125,1.4920645952224731,0.2698794901371002
ssv2,125148,8,8,1329.898681640625,0.5398606061935425,0.9200242161750793,3.711487079272047e-05,4.424378871917725,330882.03125,1.4871299266815186,0.27145451307296753
ssv2,125148,8,16,1336.322998046875,0.5217412710189819,0.9186568856239319,2.7338310246705078e-05,4.37908935546875,379897.25,1.4768407344818115,0.25505343079566956
ssv2,125148,8,32,1339.4049072265625,0.6424704790115356,0.9436977505683899,2.9237478884169832e-05,4.404496192932129,52007.80859375,1.4826258420944214,0.22341014444828033
ssv2,125166,8,2,1328.2781982421875,0.5226274132728577,0.9154468774795532,5.0990667659789324e-05,4.45848274230957,110074.84375,1.494808554649353,0.2996278405189514
ssv2,125166,8,4,1316.5997314453125,0.5297747850418091,0.9170113801956177,5.1464834541548043e-05,4.438323974609375,41241.80078125,1.49027681350708,0.3014412820339203
ssv2,125166,8,8,1316.1051025390625,0.5389188528060913,0.9193025231361389,4.581455868901685e-05,4.452415943145752,286471.125,1.4934468269348145,0.3014734089374542
ssv2,125166,8,16,1315.2994384765625,0.5575423240661621,0.9248613119125366,3.8188696635188535e-05,4.413350582122803,19842.314453125,1.4846341609954834,0.3102284371852875
ssv2,125166,8,32,1338.4329833984375,0.5708274841308594,0.929704487323761,2.4378785383305512e-05,4.127527236938477,198968.015625,1.4176784753799438,0.30532628297805786
ssv2,125225,8,2,1290.7625732421875,0.41276317834854126,0.8874355554580688,3.9285849197767675e-05,4.434162139892578,849327.3125,1.4893386363983154,0.24785538017749786
ssv2,125225,8,4,1347.03662109375,0.433612585067749,0.8964810967445374,3.0509958378388546e-05,4.465784072875977,16536.091796875,1.496444821357727,0.24900372326374054
ssv2,125225,8,8,1325.573974609375,0.5173194408416748,0.9125523567199707,3.8542715628864244e-05,4.463022232055664,597944.75,1.4958261251449585,0.32677707076072693
ssv2,125225,8,16,1429.5697021484375,0.6372036337852478,0.9453217387199402,1.9437840819591656e-05,4.441812038421631,298372.78125,1.4910624027252197,0.26714882254600525
ssv2,125225,8,32,1310.8255615234375,0.5139212608337402,0.9153424501419067,3.3927379263332114e-05,2.528892993927002,338675.125,0.9277817010879517,0.3653300702571869
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,2,1305.1480712890625,0.46732181310653687,0.901903510093689,5.114684972795658e-05,4.4148406982421875,121511.3046875,1.4849717617034912,0.23495973646640778
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,4,1310.817138671875,0.48200809955596924,0.9059907793998718,4.495395842241123e-05,4.444751262664795,305116.5,1.491723895072937,0.23479880392551422
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,8,1315.9146728515625,0.4847785234451294,0.9065605998039246,4.065223038196564e-05,4.424988746643066,37785.94921875,1.4872677326202393,0.2363923192024231
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,16,1318.1630859375,0.4953189492225647,0.9114552140235901,3.264784027123824e-05,4.44996976852417,73186.296875,1.4928972721099854,0.23428872227668762
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,32,1321.8411865234375,0.5189231634140015,0.9177061319351196,2.5508186809020117e-05,4.089375972747803,174567.078125,1.4083924293518066,0.23979248106479645
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,2,1343.24462890625,0.45428115129470825,0.9008668661117554,4.992675894754939e-05,4.474186897277832,738309.0625,1.4983246326446533,0.28638556599617004
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,4,1347.87646484375,0.4664941430091858,0.9038901329040527,4.594380152411759e-05,4.490480422973633,150073.96875,1.5019596815109253,0.28859809041023254
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,8,1351.3533935546875,0.4608444571495056,0.9029766321182251,4.2396950448164716e-05,4.493964195251465,39610.4375,1.5027352571487427,0.28908032178878784
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,16,1345.3642578125,0.47692376375198364,0.9072898030281067,4.123767575947568e-05,4.455755710601807,673650.0,1.4941966533660889,0.2913709878921509
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,32,1347.517578125,0.4982636570930481,0.9120293259620667,3.529965761117637e-05,4.4816131591796875,347314.59375,1.4999830722808838,0.2898664176464081
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,2,1366.1495361328125,0.46926963329315186,0.9069897532463074,5.624842015095055e-05,4.482240676879883,216541.28125,1.5001230239868164,0.3970802128314972
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,4,1382.6915283203125,0.47230374813079834,0.9090226888656616,5.6452910939697176e-05,4.41016149520874,160856.375,1.4839112758636475,0.39749884605407715
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,8,1382.6160888671875,0.4620225429534912,0.9061189889907837,4.5448010496329516e-05,4.447279453277588,97394.484375,1.4922925233840942,0.39601922035217285
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,16,1376.5738525390625,0.47135549783706665,0.9087897539138794,4.682901271735318e-05,4.3586015701293945,595227.5625,1.472151279449463,0.39478233456611633
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,32,1396.197021484375,0.49413394927978516,0.916035532951355,3.888268111040816e-05,4.173186302185059,78417.8984375,1.4286798238754272,0.3931373357772827
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,2,1413.865234375,0.4584507942199707,0.9005339741706848,7.087751146173105e-05,4.4501495361328125,303873.84375,1.492937684059143,0.44404447078704834
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,4,1411.63720703125,0.46976006031036377,0.9040415287017822,6.772833148716018e-05,4.448940753936768,186550.203125,1.4926660060882568,0.44631537795066833
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,8,1410.541015625,0.47002124786376953,0.9040749669075012,6.032918463461101e-05,4.441713333129883,274262.125,1.4910402297973633,0.4408750534057617
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,16,1421.9697265625,0.4861489534378052,0.9099795818328857,6.188683619257063e-05,4.440464973449707,286807.625,1.4907591342926025,0.44519004225730896
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,32,1416.4246826171875,0.5013566017150879,0.9118400812149048,5.241958569968119e-05,4.407063961029053,108391.1171875,1.4832086563110352,0.4425469636917114
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,2,1370.3203125,0.494316041469574,0.9138686060905457,3.8641846913378686e-05,4.491357326507568,436047.15625,1.5021549463272095,0.234130397439003
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,4,1356.21630859375,0.5249219536781311,0.9202683568000793,3.4085667721228674e-05,4.462502956390381,370782.53125,1.495709776878357,0.2374403476715088
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,8,1355.555419921875,0.5461751818656921,0.9236559271812439,3.9055834349710494e-05,4.39854621887207,536930.0625,1.481274127960205,0.23670296370983124
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,16,1389.640869140625,0.5641771554946899,0.930769145488739,2.842573303496465e-05,4.359821319580078,717700.125,1.4724310636520386,0.22373120486736298
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,32,1402.9464111328125,0.5851597785949707,0.934924840927124,2.719337135204114e-05,4.035120964050293,68690.625,1.395036220550537,0.2293393313884735
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,2,1358.589111328125,0.45394784212112427,0.9014878273010254,4.725698454421945e-05,4.459862232208252,743956.125,1.4951179027557373,0.354104220867157
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,4,1343.3765869140625,0.4620014429092407,0.9028562307357788,5.067022721050307e-05,4.386504173278809,242898.75,1.4785325527191162,0.35513031482696533
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,8,1342.4302978515625,0.451537549495697,0.9009124636650085,4.099728539586067e-05,4.458497047424316,193293.25,1.494811773300171,0.3597760498523712
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,16,1339.73583984375,0.48032838106155396,0.9078410863876343,3.831500362139195e-05,4.510836601257324,372038.5,1.5064826011657715,0.36247479915618896
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,32,1377.23291015625,0.5173690319061279,0.91898512840271,2.3913918994367123e-05,4.311521530151367,718989.8125,1.4612908363342285,0.3707752525806427
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,2,1281.0506591796875,0.48583024740219116,0.9038191437721252,4.144258127780631e-05,4.434415340423584,93449.828125,1.4893957376480103,0.3800112009048462
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,4,1346.6005859375,0.4607570767402649,0.9018314480781555,4.0089238609652966e-05,4.4179158210754395,40753.45703125,1.4856680631637573,0.38200223445892334
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,8,1289.194091796875,0.5672170519828796,0.9234097599983215,3.746585935004987e-05,4.42247200012207,354479.78125,1.486698865890503,0.3768000602722168
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,16,1403.3985595703125,0.5413838624954224,0.9223810434341431,4.207341407891363e-05,4.4407477378845215,623227.125,1.4908227920532227,0.3624328672885895
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,32,1323.4022216796875,0.5961990356445312,0.9316654205322266,3.40178121405188e-05,4.3605828285217285,556340.875,1.4726057052612305,0.3768948018550873
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,2,1308.6435546875,0.40977680683135986,0.8855957388877869,4.531243394012563e-05,4.458563327789307,325114.84375,1.4948265552520752,0.12823116779327393
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,4,1320.967041015625,0.4167401194572449,0.8884340524673462,5.121116919326596e-05,4.412559509277344,828137.4375,1.484454870223999,0.12961497902870178
