dataset,clip_id,crash_k,entropy_warn_k,lead,entropy_threshold_used
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,,,,-0.002292606565687389
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,,,,-0.00012175208992427653
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,2.0,,,-0.004196096791161382
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,2.0,,,-0.000278986824883351
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,,,,-0.0032386253277460904
kinetics_mini,train/archery/-OVw1usq968_000213_000223,2.0,,,-0.003728242715199782
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,2.0,,,-0.0009610142972735361
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,,,,-0.0025804347462124295
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,,,,-0.0009637898868984573
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,,,,-0.0022082997692955907
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,,,,-0.0063416832023196704
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,,,,-0.001165856255425345
kinetics_mini,train/bowling/-A3CcrEtLpM_000000_000010,2.0,,,-0.0010941674311956329
kinetics_mini,train/bowling/-HtSfbgCm10_000040_000050,,,,-0.002554655075073241
kinetics_mini,train/bowling/-ID7HUQnT5g_000010_000020,8.0,,,-0.002032828993267485
ssv2,124600,16.0,,,-0.00028569830788506
ssv2,124613,,,,-0.022560859388775292
ssv2,124779,,,,-0.0004760762055714911
ssv2,124844,,,,-0.012747598356670803
ssv2,124853,,,,-0.0007009857230716213
ssv2,124969,,,,-0.0030880981021457117
ssv2,125148,,,,-0.00037534568044874327
ssv2,125166,,,,-0.002083190944459704
ssv2,125225,8.0,,,-0.01583933267328475
