dataset,clip_id,mode,epsilon,j,entropy,pixel_error
ssv2,124600,pure,0.0,2,2.389279842376709,0.31466469168663025
ssv2,124600,pure,0.0,4,2.377699613571167,0.3181116282939911
ssv2,124600,pure,0.0,6,2.33608341217041,0.32916170358657837
ssv2,124600,pure,0.0,8,2.2919623851776123,0.33369600772857666
ssv2,124600,pure,0.0,12,2.3319926261901855,0.32291486859321594
ssv2,124600,pure,0.0,16,2.2911036014556885,0.27641284465789795
ssv2,124600,pure,0.0,24,2.3664002418518066,0.2194242924451828
ssv2,124600,pure,0.0,32,2.3173208236694336,0.22094018757343292
ssv2,124600,pure,0.05,2,2.3897039890289307,0.31469276547431946
ssv2,124600,pure,0.05,4,2.377631187438965,0.31809794902801514
ssv2,124600,pure,0.05,6,2.3359365463256836,0.3291459083557129
ssv2,124600,pure,0.05,8,2.291733741760254,0.3336772620677948
ssv2,124600,pure,0.05,12,2.332226514816284,0.3229486346244812
ssv2,124600,pure,0.05,16,2.2909047603607178,0.2763844132423401
ssv2,124600,pure,0.05,24,2.3661460876464844,0.21942570805549622
ssv2,124600,pure,0.05,32,2.3170676231384277,0.22095221281051636
ssv2,124600,pure,0.1,2,2.3888907432556152,0.3146440386772156
ssv2,124600,pure,0.1,4,2.3773458003997803,0.31816163659095764
ssv2,124600,pure,0.1,6,2.3361639976501465,0.3292110860347748
ssv2,124600,pure,0.1,8,2.292154312133789,0.3337510824203491
ssv2,124600,pure,0.1,12,2.331808090209961,0.3229222595691681
ssv2,124600,pure,0.1,16,2.2916834354400635,0.2764703333377838
ssv2,124600,pure,0.1,24,2.366419792175293,0.21939292550086975
ssv2,124600,pure,0.1,32,2.3179361820220947,0.2209329456090927
ssv2,124600,pure,0.2,2,2.3879690170288086,0.3146578073501587
ssv2,124600,pure,0.2,4,2.3762929439544678,0.3181041181087494
ssv2,124600,pure,0.2,6,2.334587812423706,0.3292979896068573
ssv2,124600,pure,0.2,8,2.2902660369873047,0.33379295468330383
ssv2,124600,pure,0.2,12,2.330885171890259,0.32292136549949646
ssv2,124600,pure,0.2,16,2.2901692390441895,0.27650678157806396
ssv2,124600,pure,0.2,24,2.3657360076904297,0.21943490207195282
ssv2,124600,pure,0.2,32,2.316850423812866,0.22093670070171356
ssv2,124600,pure,0.4,2,2.390895366668701,0.3153255879878998
ssv2,124600,pure,0.4,4,2.376652240753174,0.31796449422836304
ssv2,124600,pure,0.4,6,2.3354432582855225,0.3292350172996521
ssv2,124600,pure,0.4,8,2.2894434928894043,0.33378440141677856
ssv2,124600,pure,0.4,12,2.3314433097839355,0.3235463798046112
ssv2,124600,pure,0.4,16,2.287473201751709,0.27641335129737854
ssv2,124600,pure,0.4,24,2.3644185066223145,0.21944651007652283
ssv2,124600,pure,0.4,32,2.317643404006958,0.22092953324317932
ssv2,124600,pure,0.8,2,2.384295701980591,0.31625625491142273
ssv2,124600,pure,0.8,4,2.3630731105804443,0.3187551498413086
ssv2,124600,pure,0.8,6,2.327119827270508,0.33028021454811096
ssv2,124600,pure,0.8,8,2.279146432876587,0.3348981738090515
ssv2,124600,pure,0.8,12,2.3256990909576416,0.3242354691028595
ssv2,124600,pure,0.8,16,2.276669502258301,0.27750837802886963
ssv2,124600,pure,0.8,24,2.355682611465454,0.21976584196090698
ssv2,124600,pure,0.8,32,2.3113622665405273,0.22105544805526733
ssv2,124600,corrected,0.0,2,2.456735849380493,0.30800342559814453
ssv2,124600,corrected,0.0,4,2.4372591972351074,0.30996769666671753
ssv2,124600,corrected,0.0,6,2.4468791484832764,0.32063156366348267
ssv2,124600,corrected,0.0,8,2.4082376956939697,0.32523027062416077
ssv2,124600,corrected,0.0,12,2.4381957054138184,0.3138493001461029
ssv2,124600,corrected,0.0,16,2.341738700866699,0.2692577838897705
ssv2,124600,corrected,0.0,24,2.4473876953125,0.22123673558235168
ssv2,124600,corrected,0.0,32,2.428447723388672,0.22340917587280273
ssv2,124600,corrected,0.05,2,2.4586830139160156,0.3080300986766815
ssv2,124600,corrected,0.05,4,2.438220500946045,0.3100348114967346
ssv2,124600,corrected,0.05,6,2.448727607727051,0.32077911496162415
ssv2,124600,corrected,0.05,8,2.4101505279541016,0.32536113262176514
ssv2,124600,corrected,0.05,12,2.440467357635498,0.3140057623386383
ssv2,124600,corrected,0.05,16,2.343101978302002,0.26942601799964905
ssv2,124600,corrected,0.05,24,2.4492604732513428,0.2213393896818161
ssv2,124600,corrected,0.05,32,2.4298336505889893,0.22350113093852997
ssv2,124600,corrected,0.1,2,2.45347261428833,0.30878204107284546
ssv2,124600,corrected,0.1,4,2.4340360164642334,0.310771107673645
ssv2,124600,corrected,0.1,6,2.4458532333374023,0.3213537335395813
ssv2,124600,corrected,0.1,8,2.4085683822631836,0.32587578892707825
ssv2,124600,corrected,0.1,12,2.4377126693725586,0.314649760723114
ssv2,124600,corrected,0.1,16,2.3405823707580566,0.2698798179626465
ssv2,124600,corrected,0.1,24,2.4475579261779785,0.22125868499279022
ssv2,124600,corrected,0.1,32,2.429999351501465,0.2234094887971878
ssv2,124600,corrected,0.2,2,2.461554765701294,0.3079060912132263
ssv2,124600,corrected,0.2,4,2.4443867206573486,0.30977296829223633
ssv2,124600,corrected,0.2,6,2.4522881507873535,0.3203084170818329
ssv2,124600,corrected,0.2,8,2.41288423538208,0.3248496353626251
ssv2,124600,corrected,0.2,12,2.446077346801758,0.3134242296218872
ssv2,124600,corrected,0.2,16,2.3457674980163574,0.2692435085773468
ssv2,124600,corrected,0.2,24,2.4482645988464355,0.2209247648715973
ssv2,124600,corrected,0.2,32,2.431917905807495,0.22284755110740662
ssv2,124600,corrected,0.4,2,2.4594271183013916,0.3073030412197113
ssv2,124600,corrected,0.4,4,2.4470407962799072,0.3100166916847229
ssv2,124600,corrected,0.4,6,2.4647703170776367,0.32008257508277893
ssv2,124600,corrected,0.4,8,2.41711688041687,0.3254927396774292
ssv2,124600,corrected,0.4,12,2.4464409351348877,0.3139801621437073
ssv2,124600,corrected,0.4,16,2.3491663932800293,0.2697071135044098
ssv2,124600,corrected,0.4,24,2.454353094100952,0.22135522961616516
ssv2,124600,corrected,0.4,32,2.445657253265381,0.22338007390499115
ssv2,124600,corrected,0.8,2,2.4949636459350586,0.3021917939186096
ssv2,124600,corrected,0.8,4,2.4864978790283203,0.3064019978046417
ssv2,124600,corrected,0.8,6,2.491755485534668,0.31729811429977417
ssv2,124600,corrected,0.8,8,2.443894863128662,0.32218804955482483
ssv2,124600,corrected,0.8,12,2.494809627532959,0.3089592456817627
ssv2,124600,corrected,0.8,16,2.410367965698242,0.267092764377594
ssv2,124600,corrected,0.8,24,2.4990689754486084,0.21837204694747925
ssv2,124600,corrected,0.8,32,2.491680145263672,0.22126731276512146
ssv2,124779,pure,0.0,2,2.0141148567199707,0.2721681296825409
ssv2,124779,pure,0.0,4,2.0053067207336426,0.2701607942581177
ssv2,124779,pure,0.0,6,2.0518405437469482,0.27065014839172363
ssv2,124779,pure,0.0,8,1.9856654405593872,0.27276188135147095
ssv2,124779,pure,0.0,12,1.8991838693618774,0.2780134975910187
ssv2,124779,pure,0.0,16,1.7353508472442627,0.2700563371181488
ssv2,124779,pure,0.0,24,1.7488267421722412,0.27891066670417786
ssv2,124779,pure,0.0,32,1.7917519807815552,0.2551577687263489
ssv2,124779,pure,0.05,2,2.0141050815582275,0.2722030282020569
ssv2,124779,pure,0.05,4,2.0056111812591553,0.2701666057109833
ssv2,124779,pure,0.05,6,2.0521857738494873,0.27065610885620117
ssv2,124779,pure,0.05,8,1.9859850406646729,0.27276554703712463
ssv2,124779,pure,0.05,12,1.8991475105285645,0.27803876996040344
ssv2,124779,pure,0.05,16,1.7355657815933228,0.2700611650943756
ssv2,124779,pure,0.05,24,1.7488465309143066,0.2789085805416107
ssv2,124779,pure,0.05,32,1.791813850402832,0.25515204668045044
ssv2,124779,pure,0.1,2,2.013303756713867,0.27220073342323303
ssv2,124779,pure,0.1,4,2.004934787750244,0.2702042758464813
ssv2,124779,pure,0.1,6,2.0512566566467285,0.2706993520259857
ssv2,124779,pure,0.1,8,1.9852104187011719,0.2728006839752197
ssv2,124779,pure,0.1,12,1.8989408016204834,0.27804985642433167
ssv2,124779,pure,0.1,16,1.73590087890625,0.2700943350791931
ssv2,124779,pure,0.1,24,1.749051570892334,0.2789405882358551
ssv2,124779,pure,0.1,32,1.791764736175537,0.25518956780433655
ssv2,124779,pure,0.2,2,2.0137834548950195,0.2720908522605896
ssv2,124779,pure,0.2,4,2.0032410621643066,0.2700716555118561
ssv2,124779,pure,0.2,6,2.0492732524871826,0.2706023156642914
ssv2,124779,pure,0.2,8,1.9822957515716553,0.2727130949497223
ssv2,124779,pure,0.2,12,1.897870421409607,0.27794039249420166
ssv2,124779,pure,0.2,16,1.7342889308929443,0.2699894905090332
ssv2,124779,pure,0.2,24,1.7473987340927124,0.2788700759410858
ssv2,124779,pure,0.2,32,1.7896039485931396,0.2551514804363251
ssv2,124779,pure,0.4,2,2.0132510662078857,0.2723766267299652
ssv2,124779,pure,0.4,4,2.0012094974517822,0.2702033817768097
ssv2,124779,pure,0.4,6,2.045912504196167,0.2706835865974426
ssv2,124779,pure,0.4,8,1.9801360368728638,0.27282291650772095
ssv2,124779,pure,0.4,12,1.8944954872131348,0.2781006991863251
ssv2,124779,pure,0.4,16,1.7314255237579346,0.2701239287853241
ssv2,124779,pure,0.4,24,1.7464492321014404,0.2791111171245575
ssv2,124779,pure,0.4,32,1.787001132965088,0.25529879331588745
ssv2,124779,pure,0.8,2,2.0056891441345215,0.27254942059516907
ssv2,124779,pure,0.8,4,1.9981000423431396,0.2703167498111725
ssv2,124779,pure,0.8,6,2.045691967010498,0.27082809805870056
ssv2,124779,pure,0.8,8,1.9792935848236084,0.2729988098144531
ssv2,124779,pure,0.8,12,1.8897082805633545,0.27803951501846313
ssv2,124779,pure,0.8,16,1.732408046722412,0.2701982855796814
ssv2,124779,pure,0.8,24,1.7465740442276,0.27906253933906555
ssv2,124779,pure,0.8,32,1.788975477218628,0.25544825196266174
ssv2,124779,corrected,0.0,2,2.1454503536224365,0.2622986137866974
ssv2,124779,corrected,0.0,4,2.129739761352539,0.26249006390571594
ssv2,124779,corrected,0.0,6,2.126626491546631,0.26443609595298767
ssv2,124779,corrected,0.0,8,2.0818161964416504,0.26634687185287476
ssv2,124779,corrected,0.0,12,2.0462441444396973,0.27015194296836853
ssv2,124779,corrected,0.0,16,1.8575714826583862,0.2645912170410156
ssv2,124779,corrected,0.0,24,1.8604846000671387,0.2727288007736206
ssv2,124779,corrected,0.0,32,1.9073166847229004,0.24635575711727142
ssv2,124779,corrected,0.05,2,2.1413309574127197,0.2622811794281006
ssv2,124779,corrected,0.05,4,2.1275486946105957,0.2624938189983368
ssv2,124779,corrected,0.05,6,2.1239824295043945,0.2644009590148926
ssv2,124779,corrected,0.05,8,2.079193115234375,0.2663286626338959
ssv2,124779,corrected,0.05,12,2.0430212020874023,0.2700924873352051
ssv2,124779,corrected,0.05,16,1.8548033237457275,0.26452013850212097
ssv2,124779,corrected,0.05,24,1.8583438396453857,0.2726700007915497
ssv2,124779,corrected,0.05,32,1.9063934087753296,0.24632170796394348
ssv2,124779,corrected,0.1,2,2.141622543334961,0.26261106133461
ssv2,124779,corrected,0.1,4,2.127124786376953,0.2627352774143219
ssv2,124779,corrected,0.1,6,2.1243479251861572,0.26468443870544434
ssv2,124779,corrected,0.1,8,2.0805416107177734,0.2665742039680481
ssv2,124779,corrected,0.1,12,2.0447986125946045,0.2704004943370819
ssv2,124779,corrected,0.1,16,1.8568578958511353,0.26477986574172974
ssv2,124779,corrected,0.1,24,1.8587186336517334,0.272870272397995
ssv2,124779,corrected,0.1,32,1.9059048891067505,0.2465795874595642
ssv2,124779,corrected,0.2,2,2.1578855514526367,0.26225656270980835
ssv2,124779,corrected,0.2,4,2.1384758949279785,0.26280832290649414
ssv2,124779,corrected,0.2,6,2.134078025817871,0.2646532952785492
ssv2,124779,corrected,0.2,8,2.0869338512420654,0.2667546570301056
