dataset,clip_id,t,k,latent_drift,pixel_error,excess_over_floor,spectral_entropy
ssv2,124600,8,2,1350.4793701171875,0.2317183017730713,0.05216224491596222,2.335620641708374
ssv2,124600,8,4,1360.98095703125,0.28942692279815674,0.10987086594104767,2.363985776901245
ssv2,124600,8,8,1358.9794921875,0.3126392662525177,0.13308320939540863,2.3413705825805664
ssv2,124600,8,16,1385.894287109375,0.33368855714797974,0.15413250029087067,2.285937547683716
ssv2,124600,8,32,1375.2388916015625,0.21800750494003296,0.03845144808292389,2.3006789684295654
ssv2,124613,8,2,1321.4593505859375,0.27665993571281433,0.09710387885570526,1.957946538925171
ssv2,124613,8,4,1312.7857666015625,0.2622758150100708,0.08271975815296173,1.73934006690979
ssv2,124613,8,8,1308.8177490234375,0.21993893384933472,0.04038287699222565,1.8658859729766846
ssv2,124613,8,16,1352.0152587890625,0.18818289041519165,0.00862683355808258,1.6252528429031372
ssv2,124613,8,32,1289.8125,0.14924174547195435,-0.030314311385154724,1.5642434358596802
ssv2,124779,8,2,1347.209716796875,0.2672065496444702,0.08765049278736115,2.069181203842163
ssv2,124779,8,4,1387.21630859375,0.26740625500679016,0.08785019814968109,1.946760654449463
ssv2,124779,8,8,1405.143798828125,0.2690049707889557,0.08944891393184662,2.0532023906707764
ssv2,124779,8,16,1417.857666015625,0.27631649374961853,0.09676043689250946,1.7617499828338623
ssv2,124779,8,32,1418.8370361328125,0.27925145626068115,0.09969539940357208,1.8044421672821045
ssv2,124844,8,2,1279.7708740234375,0.29883405566215515,0.11927799880504608,2.0605309009552
ssv2,124844,8,4,1292.451904296875,0.29914942383766174,0.11959336698055267,1.850967288017273
ssv2,124844,8,8,1349.4088134765625,0.2877197265625,0.10816366970539093,2.0210442543029785
ssv2,124844,8,16,1349.549560546875,0.24695901572704315,0.06740295886993408,1.7655222415924072
ssv2,124844,8,32,1460.2564697265625,0.22266839444637299,0.043112337589263916,1.6053849458694458
ssv2,124853,8,2,1302.358154296875,0.21712949872016907,0.03757344186306,2.540743112564087
ssv2,124853,8,4,1320.760498046875,0.21800687909126282,0.03845082223415375,2.5168938636779785
ssv2,124853,8,8,1322.774169921875,0.22113506495952606,0.04157900810241699,2.480428457260132
ssv2,124853,8,16,1346.296630859375,0.22158440947532654,0.04202835261821747,2.3201146125793457
ssv2,124853,8,32,1369.206787109375,0.22446930408477783,0.04491324722766876,2.0365850925445557
ssv2,124969,8,2,1381.061767578125,0.13838894665241241,-0.041167110204696655,2.4624178409576416
ssv2,124969,8,4,1379.113037109375,0.1391485333442688,-0.04040752351284027,2.439265012741089
ssv2,124969,8,8,1340.4019775390625,0.13979767262935638,-0.039758384227752686,2.39548659324646
ssv2,124969,8,16,1376.578125,0.15251101553440094,-0.02704504132270813,2.294023036956787
ssv2,124969,8,32,1384.19580078125,0.18260420858860016,0.003048151731491089,2.217148542404175
ssv2,125148,8,2,1312.19189453125,0.26662135124206543,0.08706529438495636,2.2131972312927246
ssv2,125148,8,4,1350.716796875,0.2698794901371002,0.09032343327999115,2.180062770843506
ssv2,125148,8,8,1329.898681640625,0.27145451307296753,0.09189845621585846,2.1788747310638428
ssv2,125148,8,16,1336.322998046875,0.25505343079566956,0.07549737393856049,1.9891836643218994
ssv2,125148,8,32,1339.4049072265625,0.22341014444828033,0.043854087591171265,1.9622493982315063
ssv2,125166,8,2,1328.2781982421875,0.2996278405189514,0.12007178366184235,2.4021317958831787
ssv2,125166,8,4,1316.5997314453125,0.3014412820339203,0.12188522517681122,2.371354103088379
ssv2,125166,8,8,1316.1051025390625,0.3014734089374542,0.12191735208034515,2.3415043354034424
ssv2,125166,8,16,1315.2994384765625,0.3102284371852875,0.1306723803281784,2.1278750896453857
ssv2,125166,8,32,1338.4329833984375,0.30532628297805786,0.1257702261209488,1.8988803625106812
ssv2,125225,8,2,1290.7625732421875,0.24785538017749786,0.0682993233203888,2.2614119052886963
ssv2,125225,8,4,1347.03662109375,0.24900372326374054,0.06944766640663147,2.1905369758605957
ssv2,125225,8,8,1325.573974609375,0.32677707076072693,0.14722101390361786,2.2456820011138916
ssv2,125225,8,16,1429.5697021484375,0.26714882254600525,0.08759276568889618,1.8874342441558838
ssv2,125225,8,32,1310.8255615234375,0.3653300702571869,0.18577401340007782,1.701664924621582
ssv2,125268,8,2,1386.1885986328125,0.25515690445899963,0.07560084760189056,2.1672074794769287
ssv2,125268,8,4,1398.1204833984375,0.257866233587265,0.07831017673015594,2.1519107818603516
ssv2,125268,8,8,1423.2974853515625,0.2591041326522827,0.07954807579517365,2.1530776023864746
ssv2,125268,8,16,1440.3203125,0.26272353529930115,0.08316747844219208,2.0066802501678467
ssv2,125268,8,32,1446.312255859375,0.2631017863750458,0.0835457295179367,2.0913894176483154
ssv2,125282,8,2,1312.3172607421875,0.218502476811409,0.03894641995429993,2.219278335571289
ssv2,125282,8,4,1326.76416015625,0.22553496062755585,0.04597890377044678,2.1988728046417236
ssv2,125282,8,8,1359.7935791015625,0.2353154718875885,0.05575941503047943,2.2962288856506348
ssv2,125282,8,16,1378.0545654296875,0.2438153177499771,0.06425926089286804,1.9658459424972534
ssv2,125282,8,32,1364.52392578125,0.24232138693332672,0.06276533007621765,1.9018595218658447
ssv2,125382,8,2,1383.447998046875,0.3472089469432831,0.167652890086174,2.232712984085083
ssv2,125382,8,4,1491.5811767578125,0.3522281348705292,0.1726720780134201,2.0816421508789062
ssv2,125382,8,8,1468.1949462890625,0.35206955671310425,0.17251349985599518,2.12593936920166
ssv2,125382,8,16,1496.932861328125,0.3701416850090027,0.19058562815189362,1.8447227478027344
ssv2,125382,8,32,1465.323974609375,0.3690339922904968,0.18947793543338776,1.9355450868606567
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,2,1305.1480712890625,0.23495973646640778,0.055403679609298706,2.423143148422241
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,4,1310.817138671875,0.23479880392551422,0.05524274706840515,2.356673002243042
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,8,1315.9146728515625,0.2363923192024231,0.056836262345314026,2.274937629699707
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,16,1318.1630859375,0.23428872227668762,0.05473266541957855,2.1430256366729736
kinetics_mini,train/archery/-1q7jA3DXQM_000005_000015,8,32,1321.8411865234375,0.23979248106479645,0.06023642420768738,1.9254473447799683
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,2,1343.24462890625,0.28638556599617004,0.10682950913906097,2.3668410778045654
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,4,1347.87646484375,0.28859809041023254,0.10904203355312347,2.3183882236480713
